;x;y;z;time
475;0.8057337;-2.4565525;-2.4565525;1418119698309
476;0.42741203;-2.5324092;-2.5324092;1418119698328
477;0.29120588;-3.1266894;-3.1266894;1418119698348
478;5.736351E-4;-2.7830653;-2.7830653;1418119698368
479;0.43117046;-2.6906996;-2.6906996;1418119698387
480;1.4131126;-2.2389927;-2.2389927;1418119698407
481;1.549921;-2.7921376;-2.7921376;1418119698427
482;0.52278423;-3.072772;-3.072772;1418119698446
483;-0.2541685;-2.624288;-2.624288;1418119698466
484;1.2151108;-1.9982686;-1.9982686;1418119698489
485;1.7058954;-1.7358313;-1.7358313;1418119698505
486;1.0825787;-2.0550745;-2.0550745;1418119698526
487;1.1518717;-2.1144626;-2.1144626;1418119698546
488;2.272584;-1.1246738;-1.1246738;1418119698566
489;3.3024101;-1.4349917;-1.4349917;1418119698585
490;3.8317423;-0.38283917;-0.38283917;1418119698605
491;4.7605143;-0.1584443;-0.1584443;1418119698625
492;3.6505785;-0.40908554;-0.40908554;1418119698645
